run,slug,layer,class,n,frac,shift_mean_abs,shift_median_abs,shift_p95_abs,shift_max_abs,shift_mean_signed,norm_ratio_median,feature_sharing_ratio
seed2,llama-orpo,11,shared_attenuated,2705,0.110067,7.64172e-05,1.2968e-05,8.8812e-05,0.0602811,-7.61132e-05,0.742728,0.915527
seed2,llama-orpo,11,shared_intermediate,288,0.0117188,0.000248702,0.00012075,0.000434538,0.0252973,6.10888e-05,2.11588,0.915527
seed2,llama-orpo,11,shared_redirected,18033,0.733765,0.00052645,8.59514e-06,9.49334e-05,0.0729654,-3.57471e-05,1.04285,0.915527
seed2,llama-simpo,11,aligned_only,3063,0.124634,5.8337e-05,4.24574e-06,6.41406e-05,0.0708713,1.61403e-05,1.33658,0.853963
seed2,llama-simpo,11,base_only,526,0.021403,2.04416e-05,1.28905e-05,6.04528e-05,0.000358261,-2.03779e-05,0.620842,0.853963
seed2,llama-simpo,11,shared_aligned,1475,0.0600179,0.00677174,0.000233089,0.0435487,0.323518,0.00166497,1,0.853963
seed2,llama-simpo,11,shared_attenuated,2058,0.0837402,6.51729e-05,3.56817e-06,7.71683e-05,0.0624978,-6.46029e-05,0.756247,0.853963
seed2,llama-simpo,11,shared_intermediate,5,0.000203451,7.82326e-06,5.78987e-06,1.69983e-05,1.80039e-05,-7.82326e-06,1.03069,0.853963
seed2,llama-simpo,11,shared_redirected,17449,0.710002,0.000584325,0,3.39601e-05,0.0757263,-2.29733e-05,0.9994,0.853963
seed2,qwen-dpo,24,aligned_only,7725,0.377197,0.00165541,0.000726475,0.00506589,0.0861654,0.00120659,1.04985,0.62251
seed2,qwen-dpo,24,base_only,6,0.000292969,0.0427173,0.0325485,0.0967164,0.116664,-0.0427173,0.631751,0.62251
seed2,qwen-dpo,24,shared_aligned,2256,0.110156,0.0619879,0.0013363,0.364396,4.77291,0.0101098,1,0.62251
seed2,qwen-dpo,24,shared_attenuated,7750,0.378418,0.00170083,0.000705578,0.00487821,0.0987915,-0.00102825,0.956763,0.62251
seed2,qwen-dpo,24,shared_intermediate,966,0.047168,0.0011059,0.00073115,0.00298702,0.0489439,1.95291e-05,1.0007,0.62251
seed2,qwen-dpo,24,shared_redirected,1777,0.0867676,0.000485953,0,0.000899773,0.0658071,-4.87312e-05,1.00042,0.62251
seed2,qwen-grpo,24,aligned_only,7442,0.363379,0.00196251,0.000732616,0.00513483,1.28649,0.00157238,1.04865,0.636572
seed2,qwen-grpo,24,base_only,1,4.88281e-05,0.0182377,0.0182377,0.0182377,0.0182377,-0.0182377,0.665353,0.636572
seed2,qwen-grpo,24,shared_aligned,2340,0.114258,0.102315,0.00129364,0.313083,15.316,0.0319165,1,0.636572
seed2,qwen-grpo,24,shared_attenuated,7611,0.371631,0.00170423,0.000722258,0.00487218,0.119866,-0.00111843,0.953752,0.636572
seed2,qwen-grpo,24,shared_intermediate,1065,0.052002,0.00102503,0.000702482,0.00278133,0.02782,3.13239e-05,0.998986,0.636572
seed2,qwen-grpo,24,shared_redirected,2021,0.0986816,0.000460792,0,0.000880712,0.0678535,5.71217e-05,0.999177,0.636572
seed2,qwen-kto,24,aligned_only,20,0.000976562,0.107841,0.0583998,0.32617,0.372892,0.107841,2.61022,0.999023
seed2,qwen-kto,24,shared_aligned,2672,0.130469,0.00179098,0.000756477,0.00686714,0.0920414,0.000923825,1.04495,0.999023
seed2,qwen-kto,24,shared_attenuated,9386,0.458301,0.0175248,0.000588107,0.0120779,5.92108,0.00153554,0.976672,0.999023
seed2,qwen-kto,24,shared_intermediate,4371,0.213428,0.00161584,0.00102941,0.0045858,0.100164,0.0010926,1.06228,0.999023
seed2,qwen-kto,24,shared_redirected,4031,0.196826,0.00102507,0.000102541,0.00169401,0.112111,0.000770912,1.03048,0.999023
seed2,qwen-orpo,24,aligned_only,184,0.00898437,2.09007,1.6929,5.69142,15.4719,-1.17336,271.854,0.990186
seed2,qwen-orpo,24,base_only,17,0.000830078,0.428522,0.237987,1.21091,2.40837,-0.299163,0.542166,0.990186
seed2,qwen-orpo,24,shared_aligned,1063,0.0519043,0.00714297,0.00106722,0.0076933,1.89759,-6.98255e-05,1.11419,0.990186
seed2,qwen-orpo,24,shared_attenuated,11208,0.547266,0.0251931,0.000654239,0.00769843,9.22625,0.00109125,1,0.990186
seed2,qwen-orpo,24,shared_intermediate,6268,0.306055,0.0149606,0.00128501,0.00566254,5.9805,-0.0103135,1.11469,0.990186
seed2,qwen-orpo,24,shared_redirected,1740,0.0849609,0.0599518,0.00081658,0.375617,4.83375,-0.0181779,1.11009,0.990186
seed2,smollm-dpo,19,aligned_only,2187,0.133484,5.0933e-05,2.62478e-05,0.000158036,0.00175873,4.74418e-05,1.43538,0.823486
seed2,smollm-dpo,19,base_only,705,0.0430298,5.26364e-05,4.28192e-05,0.000123725,0.000410364,-5.26364e-05,0.598061,0.823486
seed2,smollm-dpo,19,shared_aligned,984,0.0600586,0.00839013,0.000509694,0.024566,0.797851,0.00140047,1,0.823486
seed2,smollm-dpo,19,shared_attenuated,1301,0.0794067,4.95139e-05,2.13434e-05,0.000192251,0.00167657,-4.34059e-05,0.732588,0.823486
seed2,smollm-dpo,19,shared_intermediate,25,0.00152588,2.82581e-05,2.57943e-05,5.99384e-05,6.1255e-05,-3.21284e-06,1.04104,0.823486
seed2,smollm-dpo,19,shared_redirected,11182,0.682495,6.19074e-05,7.84455e-06,0.000153744,0.00324546,-2.2256e-06,1.0002,0.823486
seed2,smollm-grpo,19,aligned_only,2186,0.133423,4.99764e-05,2.65705e-05,0.000157496,0.00174145,4.94585e-05,1.43568,0.823608
seed2,smollm-grpo,19,base_only,704,0.0429688,5.40873e-05,4.4072e-05,0.00012728,0.000408897,-5.4072e-05,0.596129,0.823608
seed2,smollm-grpo,19,shared_aligned,984,0.0600586,0.00615786,0.000571115,0.0220102,0.310013,0.00123776,1,0.823608
seed2,smollm-grpo,19,shared_attenuated,1303,0.0795288,5.09457e-05,2.1218e-05,0.000177277,0.00189177,-4.43468e-05,0.730695,0.823608
seed2,smollm-grpo,19,shared_intermediate,19,0.00115967,2.67928e-05,2.78719e-05,5.06927e-05,5.1993e-05,-6.02937e-06,1.02533,0.823608
seed2,smollm-grpo,19,shared_redirected,11188,0.682861,6.34547e-05,7.83149e-06,0.00015592,0.00327143,-1.99402e-06,0.999406,0.823608
seed2,smollm-kto,19,aligned_only,676,0.0412598,3.71472e-05,1.95567e-05,0.000133728,0.0011645,3.69572e-05,1.64829,0.93927
seed2,smollm-kto,19,base_only,319,0.0194702,3.51162e-05,2.05553e-05,9.20432e-05,0.00170725,-2.44124e-05,0.624478,0.93927
seed2,smollm-kto,19,shared_aligned,984,0.0600586,0.160703,0.00151935,0.664967,7.30533,0.0707804,1,0.93927
seed2,smollm-kto,19,shared_attenuated,1357,0.0828247,2.7931e-05,1.02626e-05,8.99676e-05,0.0020578,-2.28933e-05,0.754515,0.93927
seed2,smollm-kto,19,shared_intermediate,19,0.00115967,4.87294e-05,5.0067e-05,0.000101448,0.000111069,3.13441e-05,1.19395,0.93927
seed2,smollm-kto,19,shared_redirected,13029,0.795227,4.70092e-05,2.80099e-06,6.70708e-05,0.00320115,4.57112e-07,1.03839,0.93927
seed2,smollm-orpo,19,aligned_only,2131,0.130066,3.60244e-05,1.59495e-05,0.000124307,0.00173533,3.21393e-05,1.37435,0.834717
seed2,smollm-orpo,19,base_only,577,0.0352173,4.83936e-05,3.39302e-05,0.000136876,0.000430757,-4.836e-05,0.610512,0.834717
seed2,smollm-orpo,19,shared_aligned,986,0.0601807,0.180251,0.00205177,1.12355,5.99152,0.0675423,1,0.834717
seed2,smollm-orpo,19,shared_attenuated,1570,0.0958252,3.34761e-05,1.51699e-05,0.000105121,0.00201318,-2.7206e-05,0.744952,0.834717
seed2,smollm-orpo,19,shared_intermediate,48,0.00292969,0.000144654,1.39523e-05,0.00132089,0.00204759,4.48994e-05,1.00057,0.834717
seed2,smollm-orpo,19,shared_redirected,11072,0.675781,5.1293e-05,5.37601e-06,9.10955e-05,0.00318996,-7.6144e-06,0.996997,0.834717
seed2,smollm-simpo,19,aligned_only,2180,0.133057,4.93534e-05,2.56701e-05,0.000151894,0.00167459,4.88879e-05,1.43645,0.824402
seed2,smollm-simpo,19,base_only,697,0.0425415,5.49111e-05,4.22514e-05,0.000126608,0.00171437,-4.99858e-05,0.599217,0.824402
seed2,smollm-simpo,19,shared_aligned,984,0.0600586,0.00631338,0.000483493,0.0199531,0.658238,0.00161553,1,0.824402
seed2,smollm-simpo,19,shared_attenuated,1283,0.0783081,5.22661e-05,2.08085e-05,0.000194899,0.00193214,-4.04587e-05,0.731768,0.824402
seed2,smollm-simpo,19,shared_intermediate,21,0.00128174,2.65148e-05,2.32468e-05,6.19457e-05,6.75838e-05,-7.57279e-06,0.988371,0.824402
seed2,smollm-simpo,19,shared_redirected,11219,0.684753,6.17511e-05,7.65639e-06,0.000150497,0.00322761,-3.30602e-06,1,0.824402
rescue,qwen-kto,24,aligned_only,16,0.00078125,0.147912,0.140243,0.367355,0.3823,0.147912,3.25315,0.99917
